GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High,date
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2021,2021,2021,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,3.260070989,3.3 [2.5-4.2],2.538894239,4.157615204,2021-01-01
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-underweight-%28-weight-for-age--2-sd%29-%28-%29,2023,2023,2023,EMR,Eastern Mediterranean,LBN,Lebanon,HOUSEHOLDWEALTH,HOUSEHOLDWEALTH_TOTL,Total,5.1,5.1 [3.8-6.9],3.8,6.9,2023-01-01
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2001,2001,2001,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,16.642844389,16.6 [14.0-19.7],14.026318368,19.733166554,2001-01-01
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2022,2022,2022,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,3.339536594,3.3 [2.6-4.3],2.600780857,4.258958828,2022-01-01
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2011,2011,2011,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,1045.0,1045 [870-1251],870.0,1251.0,2011-01-01
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-children-under-5-years-%28-%29,2002,2002,2002,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,24.6,24.6 [13.1-38.1],13.1,38.1,2002-01-01
NUTSTUNTINGNUM,"Stunting numbers among children under 5 years of age (millions), model-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-stunting-numbers-%28in-millions%29,2000,2000,2000,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,83.9,83.9 [66.6-104.4],66.6,104.4,2000-01-01
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1976,1976,1976,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,102.386716912,102.4 [87.2-119.6],87.231700215,119.64339337,1976-01-01
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2013,2013,2013,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,4.309781813,4.3 [3.4-5.5],3.356761534,5.495575319,2013-01-01
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2023,2023,2023,EMR,Eastern Mediterranean,LBN,Lebanon,SEX,SEX_BTSX,Both sexes,1723.0,1723 [1548-1918],1548.0,1918.0,2023-01-01
