Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection,admin1_normalized,analysis_date
Mar 2025,LBN,5574517,Aley,2025-04-01,2025-06-30,298973.0,46314.0,0.15,143914.0,0.48,108745.0,0.36,46314.0,0.15,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,298973.0,42210.0,0.14,143914.0,0.48,112849.0,0.38,42210.0,0.14,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2025-03-01
Mar 2025,LBN,5574517,El Koura & El Batroun,2025-04-01,2025-06-30,163674.0,18667.0,0.11,90236.0,0.55,54770.0,0.33,18667.0,0.11,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,163674.0,15741.0,0.1,96531.0,0.59,51402.0,0.31,15741.0,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,North,2025-03-01
Mar 2025,LBN,5574517,Beirut,2025-04-01,2025-06-30,272775.0,33807.0,0.12,140232.0,0.51,98736.0,0.36,33807.0,0.12,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,272775.0,20169.0,0.07,153870.0,0.56,98736.0,0.36,20169.0,0.07,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Beirut,2025-03-01
Mar 2025,LBN,5574517,Baalbek & El Hermel,2025-04-01,2025-06-30,408530.0,139489.0,0.34,83454.0,0.2,185587.0,0.45,130150.0,0.32,9339.0,0.02,0.0,0.0,2025-07-01,2025-10-31,408530.0,151711.0,0.37,83454.0,0.2,173365.0,0.42,142986.0,0.35,8725.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,Baalbek-El Hermel,2025-03-01
Mar 2025,LBN,5574517,Chouf,2025-04-01,2025-06-30,273829.0,40127.0,0.15,131490.0,0.48,102212.0,0.37,40127.0,0.15,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,273829.0,36941.0,0.13,131490.0,0.48,105398.0,0.38,36941.0,0.13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2025-03-01
Mar 2025,LBN,5574517,Baabda,2025-04-01,2025-06-30,545682.0,136376.0,0.25,191034.0,0.35,218273.0,0.4,136376.0,0.25,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,545682.0,150040.0,0.27,191034.0,0.35,204608.0,0.37,150040.0,0.27,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2025-03-01
Mar 2025,LBN,5574517,West bekaa,2025-04-01,2025-06-30,157156.0,44819.0,0.29,49474.0,0.31,62862.0,0.4,40357.0,0.26,4463.0,0.03,0.0,0.0,2025-07-01,2025-10-31,157156.0,43752.0,0.28,49474.0,0.31,63930.0,0.41,43752.0,0.28,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Bekaa,2025-03-01
Mar 2025,LBN,5574517,El minieh-dennie,2025-04-01,2025-06-30,193754.0,49488.0,0.26,53498.0,0.28,90768.0,0.47,49488.0,0.26,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,193754.0,52018.0,0.27,53498.0,0.28,88239.0,0.46,52018.0,0.27,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,North,2025-03-01
Mar 2025,LBN,5574517,Jbeil,2025-04-01,2025-06-30,126190.0,13629.0,0.11,77982.0,0.62,34579.0,0.27,13629.0,0.11,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,126190.0,13124.0,0.1,77982.0,0.62,35084.0,0.28,13124.0,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2025-03-01
Mar 2025,LBN,5574517,Bent Jbeil & Marjaayoun,2025-04-01,2025-06-30,108011.0,21602.0,0.2,21602.0,0.2,64807.0,0.6,21602.0,0.2,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,108011.0,32403.0,0.3,21602.0,0.2,54006.0,0.5,32403.0,0.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,South,2025-03-01
Mar 2025,LBN,5574517,Akkar,2025-04-01,2025-06-30,444542.0,133066.0,0.3,81598.0,0.18,229878.0,0.52,125756.0,0.28,7310.0,0.02,0.0,0.0,2025-07-01,2025-10-31,444542.0,140673.0,0.32,81598.0,0.18,222271.0,0.5,133363.0,0.3,7310.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,Akkar,2025-03-01
Mar 2025,LBN,5574517,El nabatieh,2025-04-01,2025-06-30,159148.0,39787.0,0.25,31830.0,0.2,87531.0,0.55,39787.0,0.25,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,159148.0,47744.0,0.3,31830.0,0.2,79574.0,0.5,47744.0,0.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,El Nabatieh,2025-03-01
Mar 2025,LBN,5574517,Tripoli,2025-04-01,2025-06-30,255671.0,49185.0,0.19,104218.0,0.41,102268.0,0.4,46476.0,0.18,2709.0,0.01,0.0,0.0,2025-07-01,2025-10-31,255671.0,56551.0,0.22,104218.0,0.41,94902.0,0.37,53843.0,0.21,2709.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,North,2025-03-01
Mar 2025,LBN,5574517,Sour,2025-04-01,2025-06-30,238812.0,53417.0,0.23,65989.0,0.28,119406.0,0.5,51532.0,0.22,1885.0,0.01,0.0,0.0,2025-07-01,2025-10-31,238812.0,61588.0,0.26,65989.0,0.28,111235.0,0.47,61588.0,0.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,South,2025-03-01
Mar 2025,LBN,5574517,Kesrwane,2025-04-01,2025-06-30,249674.0,15312.0,0.06,155689.0,0.62,78673.0,0.32,15312.0,0.06,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,249674.0,14369.0,0.06,155689.0,0.62,79616.0,0.32,14369.0,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2025-03-01
Mar 2025,LBN,5574517,Zgharta & Bcharre,2025-04-01,2025-06-30,117865.0,17747.0,0.15,63567.0,0.54,36552.0,0.31,17747.0,0.15,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,117865.0,16555.0,0.14,63567.0,0.54,37744.0,0.32,16555.0,0.14,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,North,2025-03-01
Mar 2025,LBN,5574517,Zahle,2025-04-01,2025-06-30,369834.0,112881.0,0.3,127511.0,0.34,129442.0,0.35,101400.0,0.27,11481.0,0.03,0.0,0.0,2025-07-01,2025-10-31,369834.0,119891.0,0.32,127511.0,0.34,122431.0,0.33,108410.0,0.29,11481.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,Bekaa,2025-03-01
Mar 2025,LBN,5574517,Rachaya & Hasbaya,2025-04-01,2025-06-30,72059.0,13785.0,0.19,28706.0,0.4,29568.0,0.41,13041.0,0.18,744.0,0.01,0.0,0.0,2025-07-01,2025-10-31,72059.0,16644.0,0.23,28706.0,0.4,26709.0,0.37,16644.0,0.23,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Bekaa,2025-03-01
Mar 2025,LBN,5574517,Saida,2025-04-01,2025-06-30,272528.0,52090.0,0.19,86976.0,0.32,133461.0,0.49,49288.0,0.18,2803.0,0.01,0.0,0.0,2025-07-01,2025-10-31,272528.0,60111.0,0.22,86976.0,0.32,125440.0,0.46,60111.0,0.22,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,South,2025-03-01
Mar 2025,LBN,5574517,El meten,2025-04-01,2025-06-30,448201.0,52081.0,0.12,254399.0,0.57,141721.0,0.32,52081.0,0.12,0.0,0.0,0.0,0.0,2025-07-01,2025-10-31,448201.0,52081.0,0.12,254399.0,0.57,141721.0,0.32,52081.0,0.12,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Mount Lebanon,2025-03-01
