Country Name,Country Code,Series Name,Series Code,YearLabel,Value,Year
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011 [YR2011],4.971485716923842,2011
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,2011 [YR2011],7834.96257108993,2011
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011 [YR2011],1507.5,2011
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2011 [YR2011],39927125961.5257,2011
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011 [YR2011],4.1624416292779,2011
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2011 [YR2011],3946.855038555245,2011
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011 [YR2011],0.71,2011
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2011 [YR2011],29524149154.92958,2011
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011 [YR2011],10.0649259874818,2011
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2011 [YR2011],2590.6438489196503,2011
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011 [YR2011],5.932827651515152,2011
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2011 [YR2011],235989672977.6248,2011
Syrian Arab Republic,SYR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011 [YR2011],4.7531638888563,2011
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,2011 [YR2011],2952.143493722572,2011
Syrian Arab Republic,SYR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011 [YR2011],48.3366666666667,2011
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,2011 [YR2011],67539428159.44738,2011
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011 [YR2011],5.826216373940421,2011
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,2011 [YR2011],27126.74987477018,2011
Saudi Arabia,SAU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011 [YR2011],3.75,2011
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2011 [YR2011],680660800000.0,2011
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011 [YR2011],0.8773465956851202,2011
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2011 [YR2011],51921.904511613,2011
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2011 [YR2011],3.6725,2011
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2011 [YR2011],368881143635.126,2011
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012 [YR2012],6.581474476836774,2012
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,2012 [YR2012],8406.984056081175,2012
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012 [YR2012],1507.5,2012
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2012 [YR2012],44016799515.75456,2012
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012 [YR2012],4.515229566709903,2012
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2012 [YR2012],4169.504700546181,2012
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012 [YR2012],0.71,2012
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2012 [YR2012],31634561690.140846,2012
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012 [YR2012],7.111729433430828,2012
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2012 [YR2012],2996.0677072015005,2012
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012 [YR2012],6.056058333333332,2012
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2012 [YR2012],279116666666.6667,2012
Syrian Arab Republic,SYR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012 [YR2012],36.70229533641389,2012
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,2012 [YR2012],1897.6611501869636,2012
Syrian Arab Republic,SYR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012 [YR2012],64.5808333333333,2012
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,2012 [YR2012],43190318032.56269,2012
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012 [YR2012],2.866270299050528,2012
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,2012 [YR2012],28733.437551345218,2012
Saudi Arabia,SAU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012 [YR2012],3.75,2012
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2012 [YR2012],751921333333.3334,2012
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012 [YR2012],0.6622689002690088,2012
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2012 [YR2012],53141.61243400989,2012
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2012 [YR2012],3.6725,2012
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2012 [YR2012],392793464942.1375,2012
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013 [YR2013],4.821019562973989,2013
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,2013 [YR2013],8162.379293613964,2013
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013 [YR2013],1507.5,2013
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2013 [YR2013],46880103080.597015,2013
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013 [YR2013],4.824623142695372,2013
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2013 [YR2013],4311.219167130379,2013
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013 [YR2013],0.71,2013
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2013 [YR2013],34454440140.84507,2013
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013 [YR2013],9.46971981064921,2013
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2013 [YR2013],3025.525635524481,2013
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013 [YR2013],6.870324999999998,2013
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2013 [YR2013],288434108527.1318,2013
Syrian Arab Republic,SYR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013 [YR2013],40.03183782907232,2013
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,2013 [YR2013],985.8926692270542,2013
Syrian Arab Republic,SYR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013 [YR2013],108.733333333333,2013
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,2013 [YR2013],21361254635.05104,2013
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013 [YR2013],3.511042097998568,2013
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,2013 [YR2013],27865.465604962024,2013
Saudi Arabia,SAU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013 [YR2013],3.75,2013
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2013 [YR2013],769755733333.3334,2013
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013 [YR2013],1.101118363757104,2013
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2013 [YR2013],53247.24094954414,2013
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2013 [YR2013],3.6725,2013
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2013 [YR2013],409632675289.3125,2013
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014 [YR2014],1.854604213409097,2014
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014 [YR2014],7577.641330236905,2014
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014 [YR2014],1507.5,2014
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2014 [YR2014],48095213746.600334,2014
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014 [YR2014],2.89947905006057,2014
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014 [YR2014],4191.180500849864,2014
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014 [YR2014],0.71,2014
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2014 [YR2014],36847643521.12676,2014
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014 [YR2014],10.0702154687481,2014
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,2014 [YR2014],3133.391022655408,2014
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014 [YR2014],7.077608560606062,2014
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2014 [YR2014],305595408895.26544,2014
Syrian Arab Republic,SYR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014 [YR2014],10.92711418042969,2014
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014 [YR2014],1060.5910588685424,2014
Syrian Arab Republic,SYR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014 [YR2014],154.13,2014
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,2014 [YR2014],21502061465.94976,2014
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014 [YR2014],2.241853487790634,2014
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,2014 [YR2014],27805.48503194224,2014
Saudi Arabia,SAU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014 [YR2014],3.75,2014
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,2014 [YR2014],787153066666.6666,2014
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014 [YR2014],2.346268656716426,2014
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2014 [YR2014],52725.23584079344,2014
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2014 [YR2014],3.6725,2014
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2014 [YR2014],424935874744.7243,2014
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015 [YR2015],-3.749145247996286,2015
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,2015 [YR2015],7714.109999880404,2015
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2015 [YR2015],1507.5,2015
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,2015 [YR2015],49929337836.81592,2015
Jordan,JOR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015 [YR2015],-0.876851359704049,2015
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,2015 [YR2015],4042.756780975546,2015
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2015 [YR2015],0.71,2015
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,2015 [YR2015],38587017887.32394,2015
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015 [YR2015],10.370490343517,2015
