date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,baseline_usd,price_index,is_basket_item
2012-08-15,Akkar,Akkar,Akkar,1684,34.53,36.08,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15131.96,10.09,7.084666666666666,142.4202503058248,True
2012-08-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,5500.0,3.67,3.501741935483871,104.80498185234998,True
2012-08-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1700.0,1.13,1.2923497267759563,87.43763213530654,False
2012-08-15,North,Tripoli,North,1705,34.44,35.83,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1750.0,1.17,1.4978538812785387,78.11175807090815,False
2012-08-15,North,Tripoli,North,1705,34.44,35.83,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,12000.0,8.0,7.084666666666666,112.91992095605534,True
2012-09-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1691.43,1.13,1.2923497267759563,87.43763213530654,False
2012-09-15,Akkar,Akkar,Akkar,1684,34.53,36.08,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1965.87,1.31,1.4978538812785387,87.45846416486299,False
2012-09-15,Akkar,Akkar,Akkar,1684,34.53,36.08,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15356.96,10.24,7.084666666666666,144.53749882375084,True
2012-09-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7000.0,4.67,3.501741935483871,133.3621976159331,True
2012-09-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1700.0,1.13,1.2923497267759563,87.43763213530654,False
2012-09-15,North,Tripoli,North,1705,34.44,35.83,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1750.0,1.17,1.4978538812785387,78.11175807090815,False
2012-10-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,8056.82,5.37,3.501741935483871,153.35224865044125,True
2012-10-15,Akkar,Akkar,Akkar,1684,34.53,36.08,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,1940.32,1.29,1.7433116883116881,73.99709464744664,False
2012-10-15,Akkar,Akkar,Akkar,1684,34.53,36.08,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15416.59,10.28,7.084666666666666,145.1020984285311,True
2012-10-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7646.55,5.1,3.501741935483871,145.64180039427382,True
2012-10-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2133.08,1.42,1.7433116883116881,81.4541662010653,False
2012-10-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1695.0,1.13,1.2923497267759563,87.43763213530654,False
2012-10-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1996.21,1.33,1.4978538812785387,88.79370789257082,False
2012-10-15,Baalbek-El Hermel,Baalbek,Baalbek-El Hermel,1687,34.0,36.21,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,13682.76,9.12,7.084666666666666,128.7287098899031,True
2012-10-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7833.33,5.22,3.501741935483871,149.0686662859038,True
2012-10-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2216.15,1.48,1.7433116883116881,84.89589153350468,False
2012-10-15,Baalbek-El Hermel,El Hermel,Hermel,1695,34.4,36.39,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1833.33,1.22,1.2923497267759563,94.40169133192389,False
2012-10-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,8107.14,5.4,3.501741935483871,154.20896512334878,True
2012-10-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2436.38,1.62,1.7433116883116881,92.92658397586324,False
2012-10-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1607.14,1.07,1.2923497267759563,82.79492600422833,False
2012-10-15,Bekaa,West Bekaa,West Beqaa,1707,33.63,35.76,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-10-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,7785.71,5.19,3.501741935483871,148.21194981299632,True
2012-10-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1803.57,1.2,1.2923497267759563,92.85412262156449,False
2012-10-15,Bekaa,Zahle,Bekaa,1708,33.85,35.9,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1982.14,1.32,1.4978538812785387,88.1260860287169,False
2012-10-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,8500.0,5.67,3.501741935483871,161.9194133795162,True
2012-10-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2174.62,1.45,1.7433116883116881,83.175028867285,False
2012-10-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1750.0,1.17,1.2923497267759563,90.53276955602536,False
2012-10-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,2000.0,1.33,1.4978538812785387,88.79370789257082,False
2012-10-15,North,El Minieh-Danieh,Minieh-Dannieh,1701,34.38,36.07,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,16062.5,10.71,7.084666666666666,151.1715441799191,True
2012-10-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,8176.19,5.45,3.501741935483871,155.63682591152792,True
2012-10-15,North,Tripoli,North,1705,34.44,35.83,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,1830.95,1.22,1.2923497267759563,94.40169133192389,False
2012-10-15,North,Tripoli,North,1705,34.44,35.83,milk and dairy,Cheese (picon),319,160 G,actual,Retail,LBP,1960.67,1.31,1.4978538812785387,87.45846416486299,False
2012-10-15,North,Tripoli,North,1705,34.44,35.83,oil and fats,Oil (sunflower),184,5 L,actual,Retail,LBP,15527.38,10.35,7.084666666666666,146.0901477368966,True
2012-10-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs",Eggs,92,30 pcs,actual,Retail,LBP,8500.0,5.67,3.501741935483871,161.9194133795162,True
2012-10-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs","Fish (tuna, canned)",322,185 G,actual,Retail,LBP,2890.62,1.93,1.7433116883116881,110.70883152680003,False
2012-10-15,North,Zgharta,Zgharta,1709,34.4,35.9,"meat, fish and eggs","Meat (beef, canned)",320,200 G,actual,Retail,LBP,2000.0,1.33,1.2923497267759563,102.91331923890064,False
